Time,Symbol,Side,Size,Entry Price,Exit Price,Exit Reason,Duration,ROE %,PnL USDT,Win/Loss
2026-07-29 19:26:40,BTCUSDT,LONG,0.0009,64316.90,64397.00,SIGNAL_EXIT,655.3s,0.12,0.0489,Win
2026-07-29 19:39:26,BTCUSDT,LONG,0.0009,64316.90,64461.80,SIGNAL_EXIT,15.6s,0.23,0.1072,Win
2026-07-29 21:47:04,BTCUSDT,LONG,0.0009,64316.90,63946.20,STOP_LOSS,1.3s,-0.58,-0.3567,Loss
2026-07-29 22:46:45,BTCUSDT,LONG,0.0009,63941.60,63832.80,SIGNAL_EXIT,37.8s,-0.17,-0.1209,Loss
2026-07-29 23:26:09,BTCUSDT,LONG,0.0009,63941.60,64031.80,TAKE_PROFIT,286.5s,0.14,0.0581,Win
2026-07-29 23:26:09,BTCUSDT,LONG,0.0009,64031.80,64031.80,TAKE_PROFIT,240ms,0.00,-0.0231,Loss
2026-07-29 23:55:47,BTCUSDT,SHORT,0.0009,64179.66,64112.70,TAKE_PROFIT,18.7s,0.10,-0.0034,Loss
2026-07-29 23:57:15,BTCUSDT,SHORT,0.0009,64113.10,64049.60,TAKE_PROFIT,84.2s,0.10,0.0341,Win
2026-08-02 23:26:48,ETHUSDT,SHORT,0.0220,1873.51,1867.13,SIGNAL_EXIT,3086.7s,0.34,0.1673,Win
2026-08-03 00:01:19,ETHUSDT,LONG,0.0160,1867.13,1863.41,SIGNAL_EXIT,2070.8s,-0.20,-0.0714,Loss
2026-08-03 00:50:08,ETHUSDT,SHORT,0.0960,1864.56,1876.55,STOP_LOSS,3.0s,-0.64,-1.2229,Loss
2026-08-03 19:56:41,ETHUSDT,SHORT,1.1120,1835.40,1855.40,STOP_LOSS,1.3s,-1.09,-23.0612,Loss
2026-08-05 13:49:36,ETHUSDT,SHORT,0.3260,1864.07,1868.78,STOP_LOSS,59.8s,-0.25,-1.7791,Loss
2026-08-05 21:14:39,ETHUSDT,LONG,0.0240,1874.62,1877.42,BREAK_EVEN_STOP_LOSS,1381.4s,0.15,0.0492,Win
2026-08-05 21:20:06,ETHUSDT,SHORT,0.0380,1877.83,1876.20,SIGNAL_EXIT,142.9s,0.09,0.0334,Win
2026-08-05 21:34:27,ETHUSDT,LONG,0.0380,1875.05,1875.21,SIGNAL_EXIT,741.4s,0.01,-0.0285,Loss
2026-08-05 21:45:51,ETHUSDT,SHORT,0.0270,1877.96,1881.41,STOP_LOSS,550.1s,-0.18,-0.0734,Loss
2026-08-05 21:47:20,ETHUSDT,LONG,0.0240,1881.59,1881.11,SIGNAL_EXIT,88.6s,-0.03,-0.0322,Loss
2026-08-05 21:51:58,ETHUSDT,SHORT,0.0180,1882.02,1887.23,STOP_LOSS,278.3s,-0.28,-0.1036,Loss
2026-08-05 22:17:51,ETHUSDT,LONG,0.0380,1890.39,1889.13,STOP_LOSS,1207.4s,-0.07,-0.2100,Loss
2026-08-05 22:26:30,ETHUSDT,LONG,0.0380,1888.92,1889.81,SIGNAL_EXIT,473.8s,0.05,0.0051,Win
2026-08-05 22:30:25,ETHUSDT,SHORT,0.0140,1890.80,1895.17,STOP_LOSS,235.2s,-0.23,-0.0343,Loss
2026-08-05 22:51:04,ETHUSDT,LONG,0.0240,1895.17,1891.32,BREAK_EVEN_STOP_LOSS,1238.9s,-0.20,-0.1106,Loss
2026-08-05 23:08:39,ETHUSDT,LONG,0.0240,1890.74,1897.04,TAKE_PROFIT,1015.4s,0.33,0.1330,Win
2026-08-06 01:51:31,ETHUSDT,LONG,0.0070,1917.75,1919.88,BREAK_EVEN_STOP_LOSS,3929.5s,0.11,0.0095,Win
2026-08-06 02:18:04,ETHUSDT,LONG,0.0310,1919.01,1921.38,BREAK_EVEN_STOP_LOSS,1179.9s,0.12,0.0496,Win
2026-08-06 02:34:04,ETHUSDT,LONG,0.0380,1919.37,1910.67,STOP_LOSS,744.3s,-0.45,-0.3596,Loss
2026-08-06 02:39:49,ETHUSDT,SHORT,0.0380,1908.97,1909.97,SIGNAL_EXIT,209.2s,-0.05,-0.0670,Loss
2026-08-06 02:43:27,ETHUSDT,SHORT,0.0140,1912.64,1915.16,STOP_LOSS,20.8s,-0.13,-0.0459,Loss
2026-08-06 02:43:29,ETHUSDT,LONG,0.0240,1915.16,1915.49,SIGNAL_EXIT,2.1s,0.02,-0.0105,Loss
2026-08-06 03:03:20,ETHUSDT,SHORT,0.0030,1914.31,1908.54,TAKE_PROFIT,1190.8s,0.30,0.0088,Win
2026-08-06 06:56:00,ETHUSDT,LONG,0.0380,1910.38,1905.27,STOP_LOSS,12916.1s,-0.27,-0.2231,Loss
2026-08-06 07:49:16,ETHUSDT,SHORT,0.0220,1905.97,1902.04,TAKE_PROFIT,3036.5s,0.21,-0.0079,Loss
2026-08-06 07:50:38,ETHUSDT,LONG,0.0090,1902.04,1897.30,STOP_LOSS,82.1s,-0.25,-0.0495,Loss
2026-08-06 08:08:29,ETHUSDT,SHORT,0.0190,1898.14,1896.29,BREAK_EVEN_STOP_LOSS,1071.0s,0.10,0.0017,Win
2026-08-06 08:19:28,ETHUSDT,LONG,0.0380,1896.29,1898.95,SIGNAL_EXIT,659.4s,0.14,0.0722,Win
2026-08-06 09:46:28,ETHUSDT,SHORT,0.0070,1897.87,1900.98,STOP_LOSS,5219.6s,-0.16,-0.0057,Loss
2026-08-06 09:56:29,ETHUSDT,LONG,0.0170,1900.98,1903.17,TAKE_PROFIT,601.1s,0.12,0.0243,Win
